Trigram,2022,2021,2020,2019,2018
graph neural network,1,3,4,9,44
deep neural network,2,2,2,2,2
deep reinforcement learning,3,5,3,4,4
convolutional neural network,4,1,1,1,1
multiple input multiple (output),5,6,7,6,5
generative adversarial network,6,4,5,3,3
natural language processing,7,7,9,15,14
3d object detection,8,19,24,31,142
bidirectional encoder representation (transformer),9,8,6,10,513
massive multiple input,10,9,14,11,8
pre-trained language model,11,18,40,105,511
unmanned aerial vehicle,12,13,13,8,9
multi-agent reinforcement learning,13,16,19,25,64
large language model,14,114,967,759,792
simultaneous localization mapping,15,17,22,22,15
spiking neural network,16,22,20,30,60
automatic speech recognition,17,23,42,23,41
named entity recognition,18,21,16,16,22
deep learning model,19,24,18,42,24
neural machine translation,20,10,8,7,7
neural architecture search,21,12,12,14,52
graph convolutional network,22,11,11,12,25
machine learning model,23,27,36,47,98
unsupervised domain adaptation,24,15,25,24,42
neural radiance field,25,60,317,921,777
offline reinforcement learning,26,39,171,741,805
3d point cloud,27,34,29,35,35
graphic processing unit,28,25,23,20,18
model predictive control,29,40,63,32,17
multiple output system,30,20,45,27,16
visual question answering,31,31,26,34,21
recurrent neural network,32,14,10,5,6
medical image segmentation,33,37,70,73,78
physics-informed neural network,34,93,158,384,788
explainable artificial intelligence,35,36,76,124,385
stochastic gradient descent,36,26,15,18,19
time series forecasting,37,44,87,136,249
human pose estimation,38,32,30,37,36
markov decision process,39,41,34,28,26
deep learning approach,40,33,27,29,20
neural network training,41,52,33,39,39
graph representation learning,42,57,55,108,184
systematic literature review,43,54,64,75,170
causal language interpretation (generation),44,125,1024,906,791
channel state information,45,79,61,76,40
fake news detection,46,59,94,95,327
reinforcement learning approach,47,56,46,57,48
reconfigurable intelligent surface,48,30,35,155,647
non-orthogonal multiple access,49,28,21,17,12
monocular depth estimation,50,64,71,54,76
pretrained language model,51,51,85,186,781
salient object detection,52,49,37,48,74
natural language understanding,53,43,50,58,119
partial differential equation,54,87,123,98,168
electronic health record,55,61,48,44,57
multivariate time series,56,77,65,222,206
ordinary differential equation,57,71,78,128,148
remote sensing image,58,74,75,70,34
red green blue,59,42,52,26,27
object pose estimation,60,155,107,110,109
artificial neural network,61,38,49,36,38
support vector machine,62,119,39,40,23
facial expression recognition,63,94,59,101,54
long short-term memory,64,29,17,13,10
3d human pose,65,48,44,56,45
click-through rate prediction,66,86,98,160,365
natural language inference,67,78,62,55,49
machine learning approach,68,58,51,45,43
cell-free massive multiple,69,46,124,107,145
human activity recognition,70,91,73,68,63
neural network inference,71,85,104,60,81
natural language generation,72,67,79,51,115
integrated sensing communication,73,312,1032,931,796
magnetic resonance imaging,74,50,43,21,13
neural network model,75,35,32,43,28
graph contrastive learning,76,190,773,936,786
neural network accelerator,77,106,112,134,125
intrusion detection system,78,65,84,81,65
high performance computing,79,45,41,46,33
knowledge graph completion,80,202,108,133,341
scene graph generation,81,123,200,554,326
speech emotion recognition,82,109,173,340,99
video object segmentation,83,89,57,53,47
application programming interface,84,66,74,65,66
synthetic aperture radar,85,120,134,190,129
spoken language understanding,86,90,88,82,107
personalized federated learning,87,140,398,909,801
machine learning algorithm,88,126,67,130,214
field-programmable gate array,89,72,38,50,30
inverse reinforcement learning,90,95,82,64,67
hate speech detection,91,80,130,286,322
deep convolutional neural,92,53,31,19,11
image quality assessment,93,148,240,139,234
language processing model,94,121,129,406,491
monocular 3d object,95,110,331,287,435
neural ordinary differential,96,96,169,444,696
radio access network,97,100,91,74,53
point cloud registration,98,55,264,284,271
video anomaly detection,99,205,281,482,698
model-based reinforcement learning,100,70,53,99,166
implicit neural representation,101,371,864,946,787
directed acyclic graph,102,133,365,138,146
bayesian neural network,103,76,95,71,173
graph attention network,104,75,83,83,471
supervised contrastive learning,105,184,732,1016,780
time series data,106,163,86,96,202
multiple instance learning,107,323,193,250,164
open source software,108,196,256,408,228
visual simultaneous localization,109,142,144,183,187
few-shot object detection,110,144,155,776,704
traveling salesman problem,111,136,72,91,61
federated learning framework,112,101,369,666,778
deep learning method,113,98,96,131,117
deep metric learning,114,81,68,61,130
mobile edge computing,115,69,58,67,58
deep learning framework,116,63,66,84,50
object detection transformer,117,328,592,1007,804
safe reinforcement learning,118,253,216,170,217
local differential privacy,119,178,132,89,182
membership inference attack,120,170,147,302,586
knowledge graph embedding,121,128,182,79,174
visual representation learning,122,124,463,398,789
self-supervised representation learning,123,122,239,502,806
monte carlo tree,124,112,97,204,77
machine reading comprehension,125,88,56,94,82
6d pose estimation,126,449,311,335,470
skeleton-based action recognition,127,191,114,276,208
lidar point cloud,128,193,111,137,315
vertical federated learning,129,169,394,738,802
machine learning method,130,145,93,354,209
multiple output channel,131,132,260,200,89
carlo tree search,132,116,101,199,79
masked image modeling,133,1023,1016,1019,794
unsupervised anomaly detection,134,252,283,329,259
high dynamic range,135,250,585,267,106
weakly supervised semantic,136,165,356,161,258
supervised semantic segmentation,137,164,391,196,226
reinforcement learning framework,138,159,304,174,248
dialogue state tracking,139,141,115,162,344
optical character recognition,140,105,140,142,112
neural network architecture,141,82,47,33,37
principal component analysis,142,62,69,38,32
video frame interpolation,143,441,473,565,336
attack federated learning,144,329,388,1020,795
contrastive representation learning,145,325,229,1033,797
central processing unit,146,203,156,120,92
semi-supervised semantic segmentation,147,177,584,528,424
radiology information system,148,160,526,1041,800
probably approximately correct,149,127,90,146,85
bird eye view,150,542,512,602,776
end-to-end object detection,151,428,376,1036,784
point cloud completion,152,334,279,649,779
time series anomaly,153,260,580,703,684
grammatical error correction,154,256,301,121,160
temporal knowledge graph,155,255,306,550,580
knowledge graph embeddings,156,188,89,147,320
abstract meaning representation,157,179,262,274,177
self-supervised monocular depth,158,158,221,452,694
6d object pose,159,146,278,163,157
time series classification,160,118,102,59,134
adaptation semantic segmentation,161,104,137,213,606
wireless sensor network,162,97,60,41,29
deep generative model,163,73,54,62,31
multimodal sentiment analysis,164,336,533,777,455
hidden markov model,165,218,122,69,80
video instance segmentation,166,198,577,726,803
hierarchical reinforcement learning,167,199,151,66,68
learning natural language,168,172,170,149,278
network intrusion detection,169,129,226,145,223
particle swarm optimization,170,113,103,93,143
temporal action localization,171,107,205,315,302
representation transformer model,172,102,354,243,782
learning noisy label,173,103,219,270,303
reinforcement learning agent,174,68,125,116,126
state information feedback,175,583,353,419,496
control barrier function,176,361,440,275,798
rate-splitting multiple access,177,364,515,996,523
semi-supervised object detection,178,341,725,967,534
cooperative multi-agent reinforcement,179,335,206,271,807
robot operating system,180,289,150,281,220
series anomaly detection,181,259,571,725,732
convolution neural network,182,254,258,198,124
video representation learning,183,173,133,642,434
interpretable machine learning,184,156,253,539,371
aspect-based sentiment analysis,185,157,136,223,296
neural language model,186,147,81,80,95
binary neural network,187,131,117,317,138
domain adaptation semantic,188,108,143,237,492
intelligent reflecting surface,189,47,28,52,410
challenge future direction,190,550,723,393,439
navigation satellite system,191,442,393,432,438
class incremental learning,192,444,595,702,741
diffusion probabilistic model,193,412,945,961,790
structured query language,194,358,99,143,137
